,IntLoad_Corezn,IntLoad_Topzn1,IntLoad_Topzn2,IntLoad_Topzn3,IntLoad_Topzn4,DiffuseSolar,DirectSolar
2006-10-08 07:00:00,5480.3498505161615,426.0710078477939,275.2027480465379,429.95407868147777,275.96030694819945,46.0,544.0
2006-10-08 08:00:00,5476.919714038006,420.842161681582,263.9210706314278,426.33892587865114,273.82018492841115,37.0,777.0
2006-10-08 09:00:00,5467.97462801678,411.8980011255006,256.72993367018046,423.5476572659127,272.1225632733338,53.0,865.0
2006-10-08 10:00:00,5326.117875076082,400.9624320738878,250.4707101581357,420.7670010577194,270.1890331596065,74.0,921.0
2006-10-08 11:00:00,5328.5544647739725,390.0375369202518,250.56091930242303,417.396985193647,267.8892941058566,85.0,950.0
2006-10-08 12:00:00,5121.676528751275,388.7649037798776,253.7874887671446,414.035325970774,265.55679748918124,145.0,861.0
2006-10-08 13:00:00,5320.206037192235,388.76490377987767,255.62022172342873,410.9571222092752,263.0264018740249,104.0,948.0
2006-10-08 14:00:00,5404.684543847761,388.7649037798776,255.1885280720348,407.93765649791266,256.0650160364843,102.0,896.0
2006-10-08 15:00:00,5373.152067555557,388.76490377987767,254.90151102259875,406.09884489355204,250.47071015813557,152.0,669.0
2006-10-08 16:00:00,5361.218193654522,388.7649037798777,254.44093145230224,404.2791347509593,250.47071015813566,50.0,682.0
2006-10-08 17:00:00,5184.402483031884,388.7649037798777,254.27637140366295,394.5707122745656,250.47071015813566,10.0,304.0
2006-10-08 18:00:00,5184.303769923776,394.57934035425444,254.27637140366284,394.5707122745654,254.27637140366284,0.0,0.0
2006-10-08 19:00:00,5184.398354485952,394.5793403542545,254.27637140366286,394.57071227456555,254.27637140366286,0.0,0.0
2006-10-08 20:00:00,4995.004254392728,394.57934035425455,254.27637140366292,394.57071227456555,254.27637140366292,0.0,0.0
2006-10-08 21:00:00,5207.848407346792,394.5793403542545,254.2763714036629,394.5707122745655,254.2763714036629,0.0,0.0
2006-10-08 22:00:00,5184.834859444009,394.5793403542545,254.2763714036629,394.5707122745655,254.2763714036629,0.0,0.0
2006-10-08 23:00:00,5441.673316813598,394.57934035425455,254.27637140366292,394.57071227456555,254.27637140366292,0.0,0.0
2006-10-09 00:00:00,6426.656690719305,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-09 01:00:00,6426.656690719305,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-09 02:00:00,6426.656690719305,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-09 03:00:00,6426.656690719305,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-09 04:00:00,6549.316341108355,536.2266514982348,345.5572891132426,536.2149260838319,345.5572891132426,0.0,0.0
2006-10-09 05:00:00,6467.059058872269,577.0676831748784,377.4660871576947,591.5781389360245,375.16632039416805,0.0,0.0
2006-10-09 06:00:00,7176.711032834765,754.2187075374085,486.03669716668514,754.2025747501881,486.0366142010264,0.0,0.0
2006-10-09 07:00:00,18395.56954909185,2073.9259116118733,1335.5193405193913,2106.1248374650836,1356.6145631588927,28.0,636.0
2006-10-09 08:00:00,18569.015540158533,2073.924916962053,1335.0929347907186,2073.923664152562,1335.5392712673452,41.0,800.0
2006-10-09 09:00:00,18595.03029106781,2073.947692071043,1297.132441868894,2073.9069656923143,1335.5274994559813,66.0,883.0
2006-10-09 10:00:00,18596.002483826538,2039.4279756759504,1286.6822145859283,2073.907752944342,1335.5275174976011,94.0,905.0
2006-10-09 11:00:00,14662.512713769695,1532.1048575952836,1003.9325193602309,1577.975711189692,1015.93096975719,103.0,935.0
2006-10-09 12:00:00,18762.363097639754,1940.9973616418206,1335.1210829095899,2073.897635741195,1335.5214594414247,95.0,931.0
2006-10-09 13:00:00,18722.242346891384,1907.2277706262694,1335.4932419739375,2073.9040520943613,1335.525948034014,117.0,929.0
2006-10-09 14:00:00,18496.9112578717,1892.94305100356,1335.5250336146669,2073.920122096999,1335.5404343526595,115.0,882.0
2006-10-09 15:00:00,18475.0007763196,1907.8365325056807,1335.5316644361415,2073.9211221117203,1335.539954947878,181.0,604.0
2006-10-09 16:00:00,9283.751986273337,933.1182606333151,621.441726866608,965.1576906628287,621.4403753839564,57.0,648.0
2006-10-09 17:00:00,6284.426101311415,637.4925072645924,433.1273763631684,672.1009433342624,412.0334307428633,11.0,298.0
2006-10-09 18:00:00,6233.146018554047,671.9135964692184,433.1276012424597,672.1012828525321,433.12767332024094,0.0,0.0
2006-10-09 19:00:00,5945.845632952181,644.0422955343481,415.05162889681066,644.0520378234507,415.0516694834075,0.0,0.0
2006-10-09 20:00:00,5969.624264159802,644.0637359126878,415.05160144451565,644.0519768660535,415.0515951639835,0.0,0.0
2006-10-09 21:00:00,5319.145169443122,574.9652823947807,370.5214708135451,574.9527807324848,370.56469432825037,0.0,0.0
2006-10-09 22:00:00,5143.224824863371,554.7181093084948,358.4954752685252,557.028746577512,358.16202809367826,0.0,0.0
2006-10-09 23:00:00,4851.952790134384,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-10 00:00:00,4806.932881177591,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-10 01:00:00,4820.697791993149,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-10 02:00:00,4833.407792771025,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-10 03:00:00,6307.214273984907,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
